filename=: 1.jpg,  aircraft number=: 14 
x-pos         , y-pos         , x-pos         , y-pos         , direction
558.036926, 92.49231, 607.3661, 89.40923, 0   
558.036926, 147.9877, 611.9907, 144.9046, 0   
564.203064, 201.9415, 613.5322, 198.8584, 0   
567.286133, 258.9784, 616.6154, 255.8953, 0   
510.249237, 625.8646, 514.8738, 669.0277, 1   
393.092316, 743.0215, 371.5107, 713.7323, 1   
197.316925, 881.7600, 240.4799, 881.7600, 1   
576.535400, 849.3876, 573.4523, 813.9323, 1   
800.058472, 149.5292, 800.0584, 114.0738, 1   
946.504639, 151.0707, 948.0461, 168.0276, 0   
924.923096, 149.5292, 924.9230, 164.9446, 0   
889.467712, 135.6553, 889.4677, 158.7784, 0   
858.636902, 154.1538, 857.0953, 126.4061, 1   
830.889221, 155.6953, 830.8892, 129.4892, 1   


filename=: 2.jpg,  aircraft number=: 37 
x-pos         , y-pos         , x-pos         , y-pos         , direction
428.681549, 438.9230, 421.3661, 406.7353, 0   
251.649231, 494.5200, 289.6892, 510.6138, 1   
308.709229, 494.5200, 276.5215, 472.5738, 0   
51.207695 , 855.9000, 71.69077, 844.1953, 0   
79.006157 , 861.7523, 98.02615, 850.0477, 1   
136.066162, 813.4707, 159.4753, 803.2292, 0   
168.253845, 823.7123, 185.8107, 813.4707, 1   
238.481537, 665.7000, 254.5753, 659.8477, 0   
248.723083, 700.8138, 269.2061, 690.5723, 0   
279.447693, 709.5923, 295.5415, 702.2769, 1   
269.206146, 734.4646, 285.3000, 728.6123, 0   
282.373840, 772.5046, 302.8569, 762.2630, 0   
364.306152, 673.0153, 386.2523, 662.7738, 1   
351.138458, 637.9015, 377.4738, 626.1969, 1   
335.044617, 602.7877, 356.9907, 591.0830, 1   
307.246155, 589.6199, 326.2661, 582.3046, 0   
415.513855, 545.7277, 435.9969, 536.9492, 1   
406.735382, 567.6738, 427.2184, 557.4323, 0   
433.070770, 580.8415, 453.5538, 570.6000, 1   
446.238464, 615.9553, 466.7215, 605.7138, 1   
437.460022, 639.3646, 455.0169, 633.5123, 0   
460.869232, 651.0692, 479.8892, 640.8276, 1   
478.426147, 684.7200, 495.9830, 674.4784, 1   
757.873840, 444.7753, 773.9677, 437.4600, 0   
771.041565, 481.3523, 785.6723, 474.0369, 0   
781.283081, 455.0169, 804.6923, 443.3123, 1   
787.135376, 517.9292, 804.6923, 506.2246, 0   
812.007690, 526.7077, 831.0277, 515.0031, 1   
801.766174, 551.5800, 819.3231, 542.8015, 0   
937.832336, 441.8492, 956.8522, 431.6076, 0   
974.409241, 482.8153, 996.3554, 472.5738, 1   
1040.24768, 440.3861, 1063.656, 433.0707, 1   
1085.60314, 536.9492, 1142.663, 551.5800, 1   
1122.18005, 585.2307, 1167.535, 615.9553, 0   
991.966187, 595.4722, 984.6507, 560.3584, 1   
931.980042, 678.8676, 984.6507, 653.9954, 0   
1102.51513, 477.1674, 1088.920, 485.3241, 0   


filename=: 3.jpg,  aircraft number=: 18 
x-pos         , y-pos         , x-pos         , y-pos         , direction
