filename=: 1.JPG, vehicle number=: 64 
x-pos          , y-pos          , x-pos          , y-pos
2272.95752, 1442.085, 2249.042, 1467.914
3206.80859, 2550.241, 3183.191, 2533.758
1439.94348, 2349.052, 1448.056, 2384.947
548.366089, 861.1778, 521.6339, 840.8221
2255.92651, 1431.433, 2234.073, 1452.566
3224.72924, 2531.010, 3193.270, 2508.989
1361.15356, 2316.332, 1378.846, 2289.667
400.165009, 732.7436, 371.8349, 709.2563
2242.99169, 1418.890, 2225.008, 1437.109
3325.52490, 2393.441, 3296.475, 2376.558
1359.13781, 2279.603, 1338.862, 2306.396
367.947632, 3682.916, 396.0523, 3709.083
2222.67602, 1399.844, 2207.323, 1416.155
3390.11523, 2311.803, 3361.884, 2288.196
1234.93493, 2246.707, 1217.065, 2269.292
96.122467 , 3610.007, 67.87753, 3583.992
1829.28942, 1151.823, 1800.710, 1126.176
2515.01635, 2414.964, 2484.983, 2391.035
1199.15490, 2299.613, 1218.845, 2272.386
1335.48913, 1276.686, 1364.510, 1299.313
2555.36596, 2448.177, 2528.634, 2427.822
1127.17370, 2236.827, 1140.826, 2215.172
1352.15612, 1262.458, 1377.843, 1281.541
2466.21264, 3685.957, 2437.787, 3668.042
2130.86279, 2255.098, 2105.137, 2238.901
1064.66137, 2032.604, 1047.338, 2061.395
1363.69653, 1234.260, 1388.303, 1263.739
1985.43994, 2197.080, 2006.560, 2168.919
511.184265, 2023.059, 482.8157, 2048.940
1447.15441, 1622.692, 1420.845, 1599.307
1844.34753, 1893.297, 1827.652, 1918.702
547.791260, 1971.124, 526.2087, 1996.875
1378.35730, 2550.772, 1357.642, 2577.227
1800.55493, 1666.445, 1825.445, 1641.554
313.763885, 2019.078, 344.2361, 2004.921
1373.73498, 2585.463, 1396.265, 2560.536
1962.46460, 1622.608, 1939.535, 1651.391
470.614960, 1947.354, 493.3850, 1922.645
1413.13659, 2542.935, 1436.863, 2571.064
2261.42724, 1647.580, 2234.572, 1622.419
302.257965, 2142.370, 277.7420, 2167.629
2201.93701, 1682.643, 2224.062, 1657.356
2564.14331, 3656.976, 2551.856, 3683.023
1435.08178, 2509.264, 1466.918, 2530.735
244.005356, 2197.870, 269.9946, 2174.129
2183.50585, 1669.328, 2206.494, 1642.671
2883.17797, 2713.793, 2858.822, 2686.206
1439.25451, 2493.479, 1470.745, 2512.520
866.920715, 1503.130, 887.0792, 1484.869
2185.75634, 1595.394, 2158.243, 1568.605
3176.30688, 2590.254, 3149.693, 2569.745
1450.21618, 2477.675, 1483.783, 2496.324
966.548645, 1412.700, 993.4513, 1385.299
2288.98925, 1464.124, 2263.010, 1487.875
3194.38647, 2571.815, 3171.613, 2554.184
1481.12829, 2408.297, 1464.871, 2437.702
744.743286, 996.9946, 717.2567, 975.0053
423.643555, 2013.726, 448.3564, 1982.273
1221.73498, 2308.463, 1244.265, 2283.536
2006.39587, 1947.697, 2043.604, 1966.302
989.279419, 1621.489, 966.7205, 1648.510
498.752686, 1914.731, 523.2473, 1887.268
1316.70520, 2291.317, 1297.294, 2320.682
1883.94702, 1653.626, 1942.052, 1676.373


filename=: 2.JPG, vehicle number=: 340 
x-pos          , y-pos          , x-pos          , y-pos
3766.84130, 1323.369, 3789.158, 1352.630
2585.21508, 3743.032, 2562.784, 3724.967
3715.99462, 1348.743, 3694.005, 1321.256
2596.93603, 3714.207, 2569.063, 3687.792
3699.73120, 1363.175, 3676.268, 1334.824
2347.18261, 3730.722, 2318.817, 3707.277
3653.04003, 1399.719, 3630.959, 1370.280
2198.50878, 3704.119, 2229.491, 3731.880
3655.80395, 1405.647, 3676.196, 1432.352
1961.40246, 3494.407, 1934.597, 3471.592
3682.26879, 1388.073, 3703.731, 1413.926
1948.57995, 3509.886, 1923.420, 3490.113
3726.02441, 1401.719, 3703.975, 1374.280
1753.28881, 3524.662, 1782.711, 3549.337
