filename=: 1.jpg, vehicle number=: 30 
x-pos          , y-pos          , x-pos          , y-pos        
242.506531, 128.6770, 223.5225, 163.8851
299.626495, 140.0158, 282.0916, 175.9675
440.566986, 204.9519, 425.7987, 242.1258
603.949951, 214.9454, 623.8090, 177.5636
852.772705, 75.93181, 822.3999, 61.91363
825.017212, 19.32649, 862.9869, 31.90828
939.218140, 94.62272, 914.6863, 82.94090
1088.74536, 2.336364, 1054.868, 15.18636
1137.80908, 22.19545, 1100.427, 36.21363
67.754539 , 313.0727, 84.10908, 279.1954
240.163177, 284.4508, 225.3949, 321.6247
255.915375, 246.7580, 244.1499, 273.3545
333.222260, 467.3276, 319.5414, 504.9153
471.945435, 502.3181, 485.9636, 473.1136
489.468170, 468.4408, 502.5752, 437.8103
734.786316, 311.9045, 766.3272, 327.0909
864.454529, 363.3045, 902.6414, 379.9267
910.013611, 412.3681, 946.7803, 427.7272
984.777222, 419.3772, 1012.813, 429.8909
1075.89538, 511.6636, 1092.250, 477.7863
1095.75451, 477.7863, 1114.445, 446.2454
1098.09082, 516.3363, 1113.277, 490.6363
254.361206, 573.6115, 218.7209, 555.4518
363.304535, 561.8954, 329.4272, 547.8772
458.953979, 768.6962, 471.5357, 730.7266
679.881775, 727.7772, 642.6196, 710.3870
682.218140, 699.7409, 652.5768, 683.6331
741.795410, 756.9818, 706.7721, 739.7406
838.754517, 723.1044, 811.8863, 706.7500
1161.17272, 550.2136, 1145.986, 581.7545


filename=: 2.jpg, vehicle number=: 30 
x-pos          , y-pos          , x-pos          , y-pos        
2.336364  , 116.8181, 28.03636, 126.1636
404.744598, 45.61388, 441.5647, 29.98463
460.081573, 43.20270, 483.4042, 10.70579
639.828064, 224.8544, 603.9499, 209.1045
753.477234, 251.1590, 719.5999, 231.2999
802.775635, 123.2819, 787.3544, 157.7045
895.029846, 158.5012, 880.6951, 195.8444
961.550049, 243.7875, 949.6328, 205.6040
1073.55908, 73.59545, 1109.772, 89.94999
1096.92272, 42.05454, 1126.127, 59.57727
49.063633 , 419.3772, 9.345454, 405.3590
434.563629, 413.5363, 417.0408, 448.5817
448.581787, 372.6499, 432.6054, 408.3186
594.604553, 383.1636, 628.4818, 400.6863
681.049988, 358.6318, 646.5539, 358.4880
788.522705, 401.8545, 779.1772, 435.7318
801.320862, 432.7832, 782.7477, 468.2098
1030.29541, 466.8236, 1048.455, 431.1833
1054.86816, 413.5363, 1068.886, 380.8272
1071.33972, 381.8518, 1089.083, 346.0027
1187.28503, 321.2105, 1150.285, 306.0107
213.507980, 540.3092, 177.1579, 523.6157
464.676178, 520.3881, 450.1244, 557.6473
679.800781, 649.3416, 695.6439, 612.6130
875.717407, 702.2940, 857.4454, 735.9545
893.659058, 647.1727, 876.1363, 683.3863
1096.92272, 672.8726, 1079.399, 711.4227
1135.47265, 584.0908, 1117.949, 622.6408
1195.79956, 701.6651, 1157.668, 685.7227
1282.66357, 543.2045, 1263.972, 532.6909


filename=: 3.jpg, vehicle number=: 34 
x-pos          , y-pos          , x-pos          , y-pos        
39.718388 , 244.4291, 55.34763, 207.6089
96.387863 , 106.3703, 82.92596, 144.0370
117.366806, 57.33868, 103.6859, 94.92638
470.986847, 48.67059, 433.6436, 34.33587
528.018188, 179.8999, 501.1499, 164.7136
669.978149, 17.99204, 705.0751, 37.18056
796.699951, 68.92272, 830.5772, 85.27726
854.850342, 96.63552, 887.8181, 110.9772
933.377258, 11.68181, 914.6863, 46.72727
933.377258, 130.8363, 968.4226, 146.0227
1089.94616, 71.86934, 1072.390, 105.1363
1166.18225, 93.22528, 1148.322, 129.6681
1182.84118, 53.79008, 1163.509, 89.94999
24.573183 , 442.8711, 8.303717, 479.4129
36.409710 , 407.7057, 21.42544, 444.7931
497.645447, 501.1499, 463.7681, 492.9727
502.318176, 489.4681, 469.6090, 482.4590
535.027283, 483.6272, 548.7004, 451.1754
591.099976, 445.0772, 565.3999, 440.4045
740.966980, 376.2084, 755.5187, 338.9492
769.279419, 270.0983, 760.4863, 303.7272
799.187012, 479.7370, 783.5578, 516.5572
931.040894, 308.3999, 898.3317, 294.3818
967.254517, 327.0909, 937.1165, 310.2250
1123.79089, 332.9317, 1086.834, 316.6145
117.261986, 589.1486, 100.4636, 621.4727
419.377258, 634.3226, 433.3954, 601.6135
634.322693, 644.8363, 658.8544, 664.6954
755.889160, 617.8928, 774.4622, 582.4663
948.893677, 611.8319, 984.7427, 629.5756
981.272705, 506.9909, 968.4226, 528.0181
982.748840, 566.5335, 1018.282, 584.9001
1095.36511, 617.5165, 1059.015, 600.8229
1149.49084, 549.0454, 1130.799, 582.9227


filename=: 4.jpg, vehicle number=: 26 
x-pos          , y-pos          , x-pos          , y-pos        
32.709091 , 156.5363, 60.74545, 167.0499
33.454781 , 136.7812, 71.35064, 149.5837
86.445450 , 110.9772, 49.06363, 98.12726
207.258209, 150.3986, 188.6851, 185.8251
252.327271, 205.5999, 260.5045, 182.2363
297.313080, 158.8940, 263.2684, 137.8949
420.545441, 179.8999, 383.1636, 163.5454
505.822723, 244.1499, 480.1227, 230.1318
661.529907, 84.06215, 682.3305, 118.2284
950.899963, 136.6772, 921.6954, 146.0227
956.740906, 112.1454, 924.0317, 123.8272
1190.37719, 88.78181, 1211.404, 64.25000
37.381817 , 406.5272, 54.90454, 370.3136
299.668396, 505.2230, 263.8192, 487.4793
412.368164, 364.4727, 420.5454, 328.2590
617.968140, 469.6090, 594.6045, 436.8999
787.354492, 362.1363, 804.8772, 328.2590
1253.70056, 289.9273, 1288.224, 310.1285
34.799656 , 674.4904, 53.37273, 639.0638
292.439056, 733.4997, 256.9050, 715.1330
350.454529, 703.2454, 321.2500, 684.5545
516.213745, 648.0973, 500.5844, 684.9176
665.863586, 654.1818, 634.3226, 670.5363
716.095459, 697.4045, 683.2120, 681.9762
920.527222, 587.5954, 954.4045, 603.9499
1145.98632, 660.0227, 1177.527, 675.2090


filename=: 5.jpg, vehicle number=: 18 
x-pos          , y-pos          , x-pos          , y-pos        
113.859131, 122.8857, 150.7696, 138.3005
316.329651, 33.05152, 279.4191, 48.46629
344.368439, 43.74715, 307.2810, 58.73141
497.645447, 113.3136, 462.5999, 121.4909
520.079224, 69.78366, 539.8773, 104.5404
526.164246, 253.1889, 564.4838, 241.7168
908.845398, 244.1499, 884.3135, 225.4590
1007.39831, 65.63568, 1010.477, 101.6318
1153.18188, 130.6243, 1137.982, 167.6239
1170.09265, 94.20652, 1155.108, 131.2938
1249.95446, 33.87727, 1220.750, 17.52272
128.250946, 470.6772, 108.6553, 505.5486
400.686340, 431.0590, 384.3318, 462.5999
439.417816, 457.1869, 423.1483, 493.7287
482.412933, 401.1099, 465.5082, 437.3622
520.998840, 305.6433, 509.3272, 329.4272
594.271729, 316.1917, 621.5516, 345.4458
765.159058, 379.6590, 746.4681, 399.5181


filename=: 6.jpg, vehicle number=: 27 
x-pos          , y-pos          , x-pos          , y-pos        
156.536362, 233.6363, 128.5000, 235.9727
213.777267, 200.9272, 227.7954, 171.7227
317.558563, 187.1312, 302.5590, 217.2818
332.667816, 194.5994, 320.0818, 230.1318
350.242096, 201.4216, 337.6045, 235.9727
650.968445, 188.6016, 635.9841, 225.6889
973.095398, 172.8909, 985.9454, 140.1818
1140.40588, 221.0726, 1104.153, 204.1679
1109.77270, 58.40908, 1141.313, 73.59545
39.718182 , 393.6772, 67.75453, 405.3590
488.670471, 379.6734, 504.1389, 342.7854
771.806702, 300.0421, 731.8067, 300.0421
910.013611, 371.4818, 897.1635, 400.6863
926.368164, 376.1545, 912.3499, 404.1908
963.010437, 269.1342, 947.3954, 302.5590
1147.15454, 457.9272, 1141.406, 420.0252
1226.99975, 490.2248, 1249.656, 457.2597
179.569443, 651.7044, 142.3527, 637.0443
189.583054, 602.2965, 172.0482, 638.2482
420.545441, 617.9681, 390.1726, 599.2772
564.816284, 695.2626, 530.4400, 674.8109
553.718140, 538.5317, 582.9227, 556.0545
587.262085, 582.2036, 620.2271, 604.8599
943.522583, 591.1843, 905.9348, 577.5035
1054.86816, 641.3317, 1023.838, 625.2358
1098.09082, 658.8544, 1062.443, 641.6000
1164.13281, 687.1334, 1128.814, 668.3546


filename=: 7.jpg, vehicle number=: 34 
x-pos          , y-pos          , x-pos          , y-pos        
30.372726 , 51.39999, 60.74545, 61.91363
86.445450 , 28.03636, 59.57727, 16.35454
293.213623, 8.177273, 323.5863, 23.36363
335.708649, 56.01430, 300.5005, 37.03028
377.322723, 57.24090, 342.2772, 68.92272
447.413635, 132.0045, 434.5636, 126.1636
457.927246, 110.9772, 447.4136, 103.9681
734.436707, 179.5105, 716.5887, 215.3079
787.923950, 101.1637, 825.1406, 115.8237
803.256897, 65.38354, 840.7845, 79.22822
869.127258, 204.4318, 844.5953, 192.7500
1169.09362, 107.3161, 1132.071, 92.17018
107.472725, 404.1908, 144.8545, 424.0499
181.376236, 435.1894, 218.2642, 450.6578
301.678497, 412.6062, 332.9317, 426.3863
341.775085, 427.3714, 373.8181, 440.4045
387.836365, 447.4136, 421.0083, 461.4056
431.059082, 464.9363, 460.2636, 480.1227
546.709045, 474.2817, 571.2409, 489.4681
980.047119, 395.6880, 943.1590, 380.2195
974.263611, 431.0590, 1001.131, 446.2454
1008.14086, 478.9545, 992.2510, 511.2206
1023.32720, 492.9727, 1008.959, 521.0048
1137.80908, 343.4454, 1108.604, 405.3590
1266.30908, 519.8408, 1217.245, 496.4772
1261.63635, 271.0181, 1229.052, 257.3703
1282.66357, 468.4408, 1273.318, 460.2636
188.876907, 560.2529, 151.1712, 546.9006
462.599976, 642.5000, 441.5727, 669.3681
593.923645, 596.7484, 579.4181, 630.8181
573.577271, 556.0545, 607.4545, 554.8863
619.800720, 588.2510, 605.1181, 621.4727
1026.02087, 697.0668, 1012.504, 734.7139
1240.52819, 589.5557, 1204.576, 572.0208


filename=: 8.jpg, vehicle number=: 26 
x-pos          , y-pos          , x-pos          , y-pos        
204.909836, 216.5352, 168.9580, 199.0004
214.945450, 192.7500, 175.2272, 179.8999
231.299988, 167.0499, 190.4136, 155.3681
239.477264, 144.8545, 198.5908, 130.8363
309.568176, 30.37272, 296.7181, 58.40908
309.568176, 28.03636, 322.5926, -2.60107
383.163635, 1.168182, 377.3227, 9.345454
560.890930, 195.1997, 577.0817, 224.2908
840.440430, 207.3735, 857.1868, 243.6992
1020.99084, 257.0000, 1030.336, 237.1409
1134.30456, 109.8090, 1164.677, 122.6590
1260.46814, 248.8227, 1231.263, 234.8045
81.865654 , 427.9360, 44.84402, 412.7900
394.845428, 448.5817, 370.3136, 439.2363
447.413635, 369.1454, 438.0681, 329.4272
475.449982, 376.1545, 463.7681, 341.1090
542.934875, 520.0436, 556.4515, 482.3965
926.620239, 417.4673, 888.5780, 405.1066
1183.36816, 376.1545, 1150.659, 381.9954
1198.55444, 337.6045, 1160.004, 342.2772
58.232086 , 664.8621, 94.98373, 680.6519
380.310638, 585.5205, 362.4627, 621.3179
572.409058, 524.5136, 605.1181, 525.6818
919.125000, 541.9590, 904.1407, 579.0463
937.707886, 550.9870, 922.7236, 588.0744
598.109070, 238.3090, 585.2590, 211.4409


filename=: 9.jpg, vehicle number=: 27 
x-pos          , y-pos          , x-pos          , y-pos        
56.072723 , 165.8818, 68.92272, 124.9954
124.995453, 114.4818, 119.1545, 150.6954
121.490906, 190.4136, 115.6499, 228.9636
307.231812, 105.1363, 290.8772, 147.1909
336.254028, 84.13325, 323.2312, 121.9540
456.759064, 68.92272, 424.0499, 56.07272
557.222717, 209.1045, 520.9887, 194.4646
637.827271, 67.75453, 624.9772, 39.71818
902.569458, 48.20930, 865.1434, 34.09207
1107.43627, 70.09090, 1074.727, 56.07272
1234.10449, 126.5854, 1271.363, 141.1372
164.968811, 523.5570, 181.0681, 497.6454
236.643951, 396.9123, 251.6282, 359.8250
247.654541, 254.6636, 258.1681, 261.6727
382.068909, 476.7653, 396.0771, 439.2984
456.432281, 462.6186, 491.1890, 482.4167
588.763611, 489.4681, 553.3239, 494.6921
830.071716, 508.2628, 857.0094, 478.6932
1204.89306, 326.5540, 1167.805, 311.5697
201.216934, 551.9913, 212.6090, 523.3454
336.436340, 612.1272, 321.2500, 648.3408
541.544373, 688.1654, 578.7182, 702.9336
596.066589, 544.7459, 612.9713, 508.4935
598.233704, 648.6499, 633.5515, 667.4287
686.245667, 606.4304, 653.4796, 629.3734
971.822998, 607.7548, 954.4045, 640.1636
1198.55310, 747.0340, 1218.754, 712.5099


filename=: 10.jpg, vehicle number=: 32 
x-pos          , y-pos          , x-pos          , y-pos        
130.836365, 36.21363, 150.9907, 5.274357
161.209091, 124.9954, 190.4136, 139.0136
186.909088, 103.9681, 212.6090, 114.4818
265.641205, 168.6469, 302.3698, 184.4901
300.222717, 156.5363, 329.4272, 169.3863
344.820374, 206.5940, 381.1704, 223.2875
686.662476, 222.5290, 723.7498, 237.5133
695.792053, 207.5821, 733.2180, 221.6993
703.001282, 192.0219, 740.5889, 205.7027
735.873535, 117.8883, 769.8317, 132.0045
825.904541, 51.39999, 843.3561, 18.34170
1022.58093, 87.27143, 1008.140, 120.3227
1163.50903, 78.26818, 1133.136, 63.08181
84.227135 , 371.7692, 45.84146, 360.5202
84.086380 , 266.7275, 119.5129, 285.3005
157.704544, 487.1318, 146.0227, 515.1681
457.714478, 460.6011, 496.3515, 470.9539
601.814392, 363.2088, 564.7270, 348.2245
983.002686, 456.9718, 969.7601, 494.7162
1018.65448, 505.8227, 1034.162, 474.8975
1046.69091, 392.5090, 1077.063, 406.5272
127.331810, 670.5363, 92.28636, 662.3590
163.545456, 648.3408, 179.8999, 615.6317
441.572723, 521.0090, 474.2817, 537.3636
480.701111, 600.4121, 463.1662, 636.3638
