filename=: 1.jpg, vehicle number=: 49 
x-pos          , y-pos          , x-pos          , y-pos        
121.504700, 41.45454, 78.62068, 41.45454
127.222572, 18.58307, 84.33855, 17.15360
107.210030, 150.0940, 104.3510, 191.5485
100.062698, 303.0470, 97.20375, 345.9310
98.633232 , 350.2194, 98.63323, 393.1034
61.467083 , 304.4765, 62.89655, 355.9373
22.871473 , 388.8150, 21.44200, 443.1347
95.774292 , 398.8213, 94.34482, 441.7053
165.818176, 548.9153, 214.4200, 547.4859
85.768028 , 689.0031, 72.90282, 741.8934
283.034485, 628.9655, 228.7147, 630.3949
295.899689, 547.4859, 331.6363, 547.4859
401.680237, 547.4859, 354.5078, 547.4859
447.423187, 548.9153, 405.9686, 548.9153
556.062683, 548.9153, 507.4608, 551.7742
473.153595, 506.0313, 473.1535, 466.0062
637.542297, 548.9153, 588.9404, 550.3448
651.836975, 551.7742, 703.2977, 550.3448
511.749207, 118.6457, 464.5768, 118.6457
763.335449, 204.4137, 719.0219, 204.4137
797.642639, 77.19122, 796.2131, 35.73667
866.257080, 115.7868, 866.2570, 71.47335
867.686523, 337.3542, 867.6865, 294.4702
796.213135, 265.8808, 794.7836, 220.1379
796.213135, 448.8526, 796.2131, 398.8213
797.642639, 494.5956, 799.0720, 450.2821
870.545471, 487.4482, 867.6865, 443.1347
983.473328, 550.3448, 937.7304, 551.7742
1039.22253, 550.3448, 989.1912, 553.2037
1267.93725, 554.6332, 1216.476, 553.2037
1339.41064, 551.7742, 1282.231, 554.6332
1333.69274, 637.5422, 1287.949, 640.4012
1236.48901, 637.5422, 1282.231, 634.6834
1230.77111, 637.5422, 1186.457, 638.9718
1127.84948, 638.9718, 1176.451, 637.5422
989.191223, 636.1128, 946.3071, 637.5422
729.028198, 634.6834, 690.4326, 636.1128
608.953003, 633.2539, 656.1253, 633.2539
534.620667, 630.3949, 483.1598, 634.6834
870.545471, 761.9059, 869.1159, 706.1567
869.115967, 814.7962, 869.1159, 771.9122
797.642639, 926.2946, 799.0720, 880.5516
797.642639, 807.6489, 799.0720, 761.9059
797.642639, 746.1818, 797.6426, 701.8683
909.141052, 263.0219, 936.3009, 261.5924
912.000000, 155.8119, 952.0250, 154.3824
920.576782, 132.9404, 956.3134, 131.5109
84.338554 , 939.1598, 82.90908, 969.1787
44.313480 , 889.1285, 45.74294, 843.3855


filename=: 2.jpg, vehicle number=: 40 
x-pos          , y-pos          , x-pos          , y-pos        
520.393860, 337.9569, 520.3938, 394.7815
520.393860, 462.0738, 521.8892, 502.4492
523.384583, 538.3384, 523.3845, 592.1723
448.615387, 687.8768, 447.1199, 746.1968
447.119995, 572.7323, 448.6153, 626.5661
450.110748, 515.9076, 448.6153, 565.2553
420.203064, 324.4984, 376.8369, 324.4984
453.101532, 278.1415, 451.6061, 324.4984
453.101532, 363.3784, 451.6061, 411.2307
450.110748, 415.7169, 451.6061, 472.5415
451.606140, 466.5599, 450.1107, 499.4584
602.639954, 264.6830, 562.2645, 263.1876
106.172302, 622.0799, 154.0246, 620.5845
109.163071, 646.0061, 157.0153, 647.5015
451.606140, 89.72307, 451.6061, 46.35692
454.596924, 148.0430, 453.1015, 106.1723
454.596924, 210.8492, 453.1015, 157.0153
521.889221, 171.9692, 527.8707, 127.1076
524.880005, 122.6215, 524.8800, 79.25537
